Time:250Hz,Epoch,FCz,Oz,O1,PO7,O2,PO8,PO3,PO4,Event Id,Event Date,Event Duration
0.0000000000,0,-45747.0664062500,-63407.2695312500,-37647.8906250000,-14831.3876953125,-28507.1015625000,-52964.1757812500,-37163.6835937500,-66137.3984375000,,,
0.0040000000,0,-45879.9023437500,-63527.2968750000,-37768.0546875000,-14948.8906250000,-28630.2812500000,-53085.6367187500,-37283.2890625000,-66259.7109375000,,,
0.0079999999,0,-45835.0429687500,-63488.1367187500,-37730.7265625000,-14914.3574218750,-28591.7031250000,-53049.3593750000,-37247.2343750000,-66223.0781250000,,,
0.0119999999,0,-45599.4570312500,-63252.8203125000,-37495.3398437500,-14680.4462890625,-28355.7128906250,-52814.0195312500,-37012.2304687500,-65987.1562500000,,,
0.0159999998,0,-45694.8085937500,-63343.3671875000,-37583.1835937500,-14766.5009765625,-28444.1367187500,-52900.3398437500,-37099.1992187500,-66075.0859375000,,,
0.0199999998,0,-45725.8789062500,-63368.8476562500,-37607.3671875000,-14790.9755859375,-28469.2363281250,-52925.5078125000,-37123.0507812500,-66099.7421875000,,,
0.0240000000,0,-45795.9062500000,-63444.0625000000,-37683.7890625000,-14866.0996093750,-28548.0039062500,-53002.8007812500,-37199.2031250000,-66178.6171875000,,,
0.0279999999,0,-45769.9765625000,-63425.4882812500,-37666.1992187500,-14848.6210937500,-28529.6992187500,-52984.8320312500,-37182.3476562500,-66160.5390625000,,,
0.0319999999,0,-45760.4335937500,-63410.2890625000,-37650.3046875000,-14833.6005859375,-28511.8847656250,-52967.3945312500,-37166.6796875000,-66142.8984375000,,,
0.0359999998,0,-45749.3710937500,-63392.9218750000,-37632.5585937500,-14817.0605468750,-28492.7519531250,-52949.6484375000,-37148.8671875000,-66124.0781250000,,,
0.0399999998,0,-45749.9062500000,-63398.4843750000,-37638.7265625000,-14824.9501953125,-28500.5957031250,-52956.5546875000,-37154.9921875000,-66131.4531250000,,,
0.0440000000,0,-45751.2695312500,-63408.1406250000,-37648.1367187500,-14834.0253906250,-28510.9687500000,-52965.3828125000,-37164.3789062500,-66141.1328125000,,,
0.0480000000,0,-45753.9726562500,-63408.8789062500,-37647.7109375000,-14833.5332031250,-28509.9628906250,-52964.3125000000,-37164.2656250000,-66140.2812500000,,,
0.0519999999,0,-45796.9140625000,-63445.1796875000,-37682.0000000000,-14867.8212890625,-28545.2109375000,-53000.0507812500,-37199.2695312500,-66175.0390625000,,,
0.0559999999,0,-45762.5351562500,-63412.4765625000,-37650.4179687500,-14836.8642578125,-28513.5390625000,-52968.4921875000,-37168.2226562500,-66143.8125000000,,,
0.0599999998,0,-45755.3164062500,-63413.6406250000,-37653.3906250000,-14839.4345703125,-28518.2988281250,-52972.3359375000,-37170.7695312500,-66148.3281250000,,,
0.0639999998,0,-45746.2421875000,-63403.2226562500,-37641.7226562500,-14828.1464843750,-28507.5039062500,-52962.1875000000,-37159.0351562500,-66138.1640625000,,,
0.0680000000,0,-45730.6835937500,-63378.6835937500,-37614.4765625000,-14801.3466796875,-28481.0839843750,-52937.2890625000,-37131.9687500000,-66111.8984375000,,,
0.0719999999,0,-45729.9453125000,-63382.6367187500,-37618.4531250000,-14804.8564453125,-28485.9785156250,-52941.1093750000,-37135.9453125000,-66116.3203125000,,,
0.0759999999,0,-45739.9375000000,-63405.0351562500,-37642.4609375000,-14829.2646484375,-28509.8496093750,-52963.9765625000,-37160.0859375000,-66140.2421875000,,,
0.0799999998,0,-45792.0625000000,-63459.3281250000,-37696.6171875000,-14884.3164062500,-28563.6503906250,-53018.2695312500,-37214.1093750000,-66194.1562500000,,,
0.0839999998,0,-45751.2460937500,-63411.2695312500,-37646.9765625000,-14837.1542968750,-28513.3593750000,-52969.5859375000,-37164.6679687500,-66144.1093750000,,,
0.0880000000,0,-45737.0781250000,-63394.6171875000,-37630.0976562500,-14819.9433593750,-28497.5566406250,-52952.9335937500,-37147.7265625000,-66127.8828125000,,,
0.0919999999,0,-45730.2578125000,-63395.0664062500,-37631.4414062500,-14822.8720703125,-28500.1933593750,-52955.4843750000,-37149.1132812500,-66130.4531250000,,,
0.0959999999,0,-45725.9687500000,-63397.7265625000,-37633.4062500000,-14825.9785156250,-28501.6464843750,-52957.0703125000,-37150.5429687500,-66131.9687500000,,,
0.0999999999,0,-45726.1679687500,-63388.2929687500,-37622.3203125000,-14815.3837890625,-28490.4707031250,-52945.6015625000,-37139.7929687500,-66120.5468750000,,,
0.1039999998,0,-45726.4140625000,-63380.8515625000,-37615.1250000000,-14809.3486328125,-28483.6308593750,-52938.4492187500,-37133.2187500000,-66113.9531250000,,,
0.1079999998,0,-45778.0937500000,-63441.4453125000,-37678.1796875000,-14871.7548828125,-28546.7968750000,-52999.9843750000,-37195.7617187500,-66177.0078125000,,,
0.1120000000,0,-45742.9335937500,-63418.1328125000,-37655.0195312500,-14849.2695312500,-28523.7089843750,-52976.4726562500,-37172.9375000000,-66153.5390625000,,,
0.1159999999,0,-45914.4843750000,-63584.0703125000,-37819.7539062500,-15010.3359375000,-28689.6035156250,-53140.2851562500,-37336.2187500000,-66318.7656250000,,,
