Time:250Hz,Epoch,FCz,Oz,O1,PO7,O2,PO8,PO3,PO4,Event Id,Event Date,Event Duration
0.0000000000,0,-44403.5937500000,-64220.2929687500,-37757.7070312500,-15117.3554687500,-27750.2929687500,-53063.0859375000,-37248.4414062500,-65103.0078125000,,,
0.0040000000,0,-44407.9296875000,-64217.4765625000,-37756.7656250000,-15117.9375000000,-27748.8183593750,-53060.0429687500,-37247.7070312500,-65100.9492187500,,,
0.0079999999,0,-44420.8710937500,-64230.7734375000,-37771.1835937500,-15133.0244140625,-27762.8105468750,-53072.1132812500,-37262.3671875000,-65115.1875000000,,,
0.0119999999,0,-44423.3320312500,-64239.8515625000,-37778.8515625000,-15141.3837890625,-27770.8574218750,-53080.7851562500,-37270.1250000000,-65123.1679687500,,,
0.0159999998,0,-44499.9062500000,-64313.8359375000,-37852.3632812500,-15212.5292968750,-27845.1992187500,-53154.9492187500,-37342.4765625000,-65197.0625000000,,,
0.0199999998,0,-44364.5664062500,-64172.3710937500,-37711.2343750000,-15074.0605468750,-27703.2656250000,-53015.6757812500,-37201.9296875000,-65055.5117187500,,,
0.0240000000,0,-44400.4414062500,-64215.8906250000,-37753.9492187500,-15113.3330078125,-27749.4218750000,-53061.6757812500,-37244.6445312500,-65101.8437500000,,,
0.0279999999,0,-44667.1875000000,-64490.3242187500,-38026.5078125000,-15378.7597656250,-28027.7011718750,-53334.5000000000,-37515.4335937500,-65378.4257812500,,,
0.0319999999,0,-45276.8984375000,-65095.0273437500,-38630.8085937500,-15980.8037109375,-28632.4492187500,-53934.8007812500,-38119.2656250000,-65983.9375000000,,,
0.0359999998,0,-43891.6289062500,-63693.4609375000,-37233.1093750000,-14609.6806640625,-27218.5898437500,-52541.6406250000,-36728.2500000000,-64574.4765625000,,,
0.0399999998,0,-44139.1953125000,-63945.3867187500,-37485.4179687500,-14848.4199218750,-27477.1542968750,-52790.1914062500,-36976.4453125000,-64829.8007812500,,,
0.0440000000,0,-44407.5507812500,-64219.6875000000,-37758.5117187500,-15116.4394531250,-27753.6464843750,-53063.0859375000,-37248.6445312500,-65106.0468750000,,,
0.0480000000,0,-44583.6601562500,-64390.0976562500,-37927.7343750000,-15283.4296875000,-27924.5019531250,-53232.0390625000,-37416.9531250000,-65275.7187500000,,,
0.0519999999,0,-44665.9804687500,-64468.2187500000,-38006.9960937500,-15367.3378906250,-28001.2148437500,-53311.3437500000,-37497.5312500000,-65354.7343750000,,,
0.0559999999,0,-44100.7734375000,-63902.3828125000,-37443.5507812500,-14809.1923828125,-27435.8046875000,-52750.8085937500,-36935.2265625000,-64789.6601562500,,,
0.0599999998,0,-44316.8906250000,-64127.8437500000,-37669.4140625000,-15027.4794921875,-27663.9042968750,-52974.1250000000,-37159.1484375000,-65016.3710937500,,,
