Time:250Hz,Epoch,FCz,Oz,O1,PO7,O2,PO8,PO3,PO4,Event Id,Event Date,Event Duration
0.0000000000,0,-7419.2812500000,-7549.4355468750,-7706.5458984375,-7488.9741210938,-75391.8984375000,-115384.6640625000,-127537.1015625000,-141265.8593750000,,,
0.0040000000,0,-7421.9189453125,-7552.1176757813,-7709.1835937500,-7491.6113281250,-75394.4843750000,-115387.3671875000,-127539.7421875000,-141268.5781250000,,,
0.0079999999,0,-7422.3657226563,-7552.4082031250,-7709.4741210938,-7491.8349609375,-75394.7109375000,-115387.5468750000,-127539.8750000000,-141268.7343750000,,,
0.0119999999,0,-7420.5776367188,-7550.6425781250,-7707.7304687500,-7490.0917968750,-75393.0312500000,-115385.6484375000,-127538.0859375000,-141266.9062500000,,,
0.0159999998,0,-7418.6777343750,-7548.8544921875,-7706.1210937500,-7488.4150390625,-75391.3828125000,-115383.9453125000,-127536.3671875000,-141265.2500000000,,,
0.0199999998,0,-7417.3144531250,-7547.4238281250,-7704.6684570313,-7486.9848632813,-75389.9687500000,-115382.6250000000,-127535.0234375000,-141263.8906250000,,,
0.0240000000,0,-7418.4765625000,-7548.4746093750,-7705.5625000000,-7487.9233398438,-75390.8437500000,-115383.6328125000,-127535.9453125000,-141264.7812500000,,,
0.0279999999,0,-7419.2587890625,-7549.3012695313,-7706.3671875000,-7488.7504882813,-75391.6484375000,-115384.3515625000,-127536.6093750000,-141265.3906250000,,,
0.0319999999,0,-7416.4648437500,-7546.5297851563,-7703.7070312500,-7486.1577148438,-75389.1015625000,-115381.6875000000,-127533.9531250000,-141262.8593750000,,,
0.0359999998,0,-7414.8779296875,-7545.0771484375,-7702.1875000000,-7484.6152343750,-75387.6718750000,-115380.3515625000,-127532.5859375000,-141261.4843750000,,,
0.0399999998,0,-7419.5048828125,-7549.6816406250,-7706.5908203125,-7489.1528320313,-75392.0078125000,-115384.7500000000,-127536.9687500000,-141265.8437500000,,,
0.0440000000,0,-7418.0073242188,-7548.0048828125,-7704.9140625000,-7487.4990234375,-75390.3046875000,-115382.8515625000,-127535.1562500000,-141264.0937500000,,,
0.0480000000,0,-7415.4589843750,-7545.5463867188,-7702.5673828125,-7485.1293945313,-75387.9140625000,-115380.4140625000,-127532.8828125000,-141261.7656250000,,,
0.0519999999,0,-7416.0180664063,-7546.1274414063,-7703.2153320313,-7485.8002929688,-75388.6562500000,-115381.1953125000,-127533.5937500000,-141262.6562500000,,,
0.0559999999,0,-7417.2026367188,-7547.3120117188,-7704.1767578125,-7486.8730468750,-75389.6796875000,-115382.2031250000,-127534.5156250000,-141263.5156250000,,,
0.0599999998,0,-7419.7285156250,-7549.8823242188,-7706.6801757813,-7489.2646484375,-75392.1171875000,-115384.7265625000,-127536.8828125000,-141265.8593750000,,,
0.0639999998,0,-7419.5493164063,-7549.7485351563,-7706.6577148438,-7489.1752929688,-75392.0703125000,-115384.5937500000,-127536.7890625000,-141265.7968750000,,,
0.0680000000,0,-7418.7451171875,-7549.1000976563,-7706.0766601563,-7488.6386718750,-75391.5781250000,-115384.0625000000,-127536.2812500000,-141265.3437500000,,,
0.0719999999,0,-7419.1918945313,-7549.3906250000,-7706.2553710938,-7489.0410156250,-75391.8750000000,-115384.4375000000,-127536.5468750000,-141265.7031250000,,,
0.0759999999,0,-7421.2036132813,-7551.2905273438,-7708.2001953125,-7490.7846679688,-75393.6406250000,-115386.2734375000,-127538.3750000000,-141267.4218750000,,,
0.0799999998,0,-7420.1528320313,-7550.3295898438,-7707.3505859375,-7489.7788085938,-75392.6796875000,-115385.2656250000,-127537.4609375000,-141266.4218750000,,,
0.0839999998,0,-7419.1918945313,-7549.4130859375,-7706.6127929688,-7489.1303710938,-75392.0703125000,-115384.5937500000,-127536.7890625000,-141265.9062500000,,,
0.0880000000,0,-7420.9130859375,-7551.1342773438,-7708.1777343750,-7490.8291015625,-75393.6171875000,-115386.3203125000,-127538.3359375000,-141267.5156250000,,,
0.0919999999,0,-7420.3989257813,-7550.5307617188,-7707.4174804688,-7490.0917968750,-75392.7656250000,-115385.4921875000,-127537.5078125000,-141266.6250000000,,,
0.0959999999,0,-7423.5283203125,-7553.6152343750,-7710.5244140625,-7493.1987304688,-75396.0312500000,-115388.5312500000,-127540.5937500000,-141269.6562500000,,,
0.0999999999,0,-7423.2153320313,-7553.4365234375,-7710.5693359375,-7493.0644531250,-75396.0078125000,-115388.4609375000,-127540.5703125000,-141269.8125000000,,,
0.1039999998,0,-7422.8798828125,-7553.1684570313,-7710.1669921875,-7492.8408203125,-75395.6015625000,-115388.2421875000,-127540.3203125000,-141269.5937500000,,,
0.1079999998,0,-7425.4282226563,-7555.5375976563,-7712.4692382813,-7495.1879882813,-75397.8828125000,-115390.5390625000,-127542.5546875000,-141271.6718750000,,,
0.1120000000,0,-7422.8574218750,-7552.9892578125,-7710.0327148438,-7492.5502929688,-75395.3593750000,-115387.8359375000,-127539.8515625000,-141268.9218750000,,,
0.1159999999,0,-7418.1191406250,-7548.3847656250,-7705.5849609375,-7488.0800781250,-75390.9140625000,-115383.3203125000,-127535.4531250000,-141264.6093750000,,,
0.1199999999,0,-7415.7050781250,-7546.1049804688,-7703.1933593750,-7485.7329101563,-75388.6093750000,-115381.0156250000,-127533.1718750000,-141262.3906250000,,,
0.1239999998,0,-7417.7167968750,-7547.9604492188,-7704.9589843750,-7487.4765625000,-75390.2890625000,-115382.8515625000,-127534.8437500000,-141264.0468750000,,,
0.1279999998,1,-7418.9238281250,-7549.0332031250,-7706.0092773438,-7488.5268554688,-75391.3593750000,-115383.8359375000,-127535.8515625000,-141264.9687500000,,,
0.1319999998,1,-7417.5380859375,-7547.8486328125,-7705.0258789063,-7487.4990234375,-75390.3984375000,-115382.7890625000,-127534.7812500000,-141264.0312500000,,,
0.1359999997,1,-7418.2309570313,-7548.6533203125,-7705.7861328125,-7488.3706054688,-75391.2265625000,-115383.6562500000,-127535.6718750000,-141264.9375000000,,,
0.1399999997,1,-7419.7504882813,-7549.9941406250,-7706.9482421875,-7489.5327148438,-75392.4296875000,-115384.9765625000,-127536.9296875000,-141266.1250000000,,,
0.1439999996,1,-7417.0239257813,-7547.1557617188,-7704.2436523438,-7486.6494140625,-75389.5937500000,-115382.1562500000,-127533.9296875000,-141263.2656250000,,,
0.1479999996,1,-7413.9394531250,-7544.1381835938,-7701.3603515625,-7483.6767578125,-75386.6640625000,-115379.0781250000,-127530.8671875000,-141260.2656250000,,,
0.1519999998,1,-7415.8837890625,-7546.2167968750,-7703.4614257813,-7485.8447265625,-75388.8515625000,-115381.2421875000,-127532.9921875000,-141262.5000000000,,,
0.1559999997,1,-7420.9355468750,-7551.2905273438,-7708.3115234375,-7490.8740234375,-75393.6796875000,-115386.2265625000,-127537.9531250000,-141267.3593750000,,,
0.1599999997,1,-7421.2480468750,-7551.6035156250,-7708.5800781250,-7491.0976562500,-75393.8593750000,-115386.3593750000,-127538.0468750000,-141267.4687500000,,,
0.1639999996,1,-7419.3706054688,-7549.6816406250,-7706.7470703125,-7489.1083984375,-75392.0703125000,-115384.4140625000,-127536.1640625000,-141265.6093750000,,,
0.1679999996,1,-7420.3540039063,-7550.7094726563,-7707.8198242188,-7490.3598632813,-75393.2812500000,-115385.5781250000,-127537.4140625000,-141266.8906250000,,,
0.1719999998,1,-7422.3881835938,-7552.6987304688,-7709.7197265625,-7492.2373046875,-75395.0234375000,-115387.5468750000,-127539.2968750000,-141268.7812500000,,,
0.1759999997,1,-7423.8188476563,-7554.0844726563,-7711.0161132813,-7493.4892578125,-75396.2500000000,-115388.7500000000,-127540.4375000000,-141269.9218750000,,,
0.1799999997,1,-7421.6503906250,-7551.9165039063,-7708.9375000000,-7491.2988281250,-75394.1562500000,-115386.5390625000,-127538.2890625000,-141267.6875000000,,,
0.1839999997,1,-7419.5717773438,-7549.7929687500,-7707.0151367188,-7489.4433593750,-75392.2500000000,-115384.6640625000,-127536.4531250000,-141265.9531250000,,,
0.1879999996,1,-7420.0415039063,-7550.1508789063,-7707.2612304688,-7489.8232421875,-75392.6328125000,-115385.0000000000,-127536.8359375000,-141266.2812500000,,,
0.1919999996,1,-7419.7285156250,-7549.8603515625,-7706.8139648438,-7489.2421875000,-75392.2265625000,-115384.5546875000,-127536.2968750000,-141265.6875000000,,,
0.1959999998,1,-7421.6953125000,-7551.7602539063,-7708.9375000000,-7491.1870117188,-75394.2656250000,-115386.3593750000,-127538.2656250000,-141267.5781250000,,,
