Time:250Hz,Epoch,FCz,Oz,O1,PO7,O2,PO8,PO3,PO4,Event Id,Event Date,Event Duration
0.0000000000,0,-187500.0156250000,-111239.9140625000,-183732.3906250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0040000000,0,-187500.0156250000,-111233.2500000000,-183728.4531250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0079999999,0,-187500.0156250000,-111227.9062500000,-183725.9531250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0119999999,0,-187500.0156250000,-111227.4140625000,-183728.1406250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0159999998,0,-187500.0156250000,-111222.8359375000,-183726.1718750000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0199999998,0,-187500.0156250000,-111215.8203125000,-183721.8125000000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0240000000,0,-187500.0156250000,-111212.9140625000,-183721.7031250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0279999999,0,-187500.0156250000,-111210.2734375000,-183721.7187500000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0319999999,0,-187500.0156250000,-111206.3359375000,-183720.3593750000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0359999998,0,-187500.0156250000,-111203.5468750000,-183720.3125000000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0399999998,0,-187500.0156250000,-111195.2109375000,-183714.7656250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0440000000,0,-187500.0156250000,-111191.1640625000,-183713.3125000000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0480000000,0,-187500.0156250000,-111187.6953125000,-183712.5781250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0519999999,0,-187500.0156250000,-111183.3593750000,-183710.7968750000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0559999999,0,-187500.0156250000,-111175.6484375000,-183705.8750000000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0599999998,0,-187500.0156250000,-111170.3515625000,-183703.1093750000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0639999998,0,-187500.0156250000,-111167.4921875000,-183702.8750000000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0680000000,0,-187500.0156250000,-111163.0234375000,-183701.1093750000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0719999999,0,-187500.0156250000,-111157.1875000000,-183698.0937500000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0759999999,0,-187500.0156250000,-111153.2578125000,-183696.8281250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0799999998,0,-187500.0156250000,-111150.9296875000,-183697.0000000000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0839999998,0,-187500.0156250000,-111145.2500000000,-183694.0781250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0880000000,0,-187500.0156250000,-111143.5781250000,-183695.0625000000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0919999999,0,-187500.0156250000,-111140.3125000000,-183694.4375000000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0959999999,0,-187500.0156250000,-111136.0234375000,-183692.7968750000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.0999999999,0,-187500.0156250000,-111131.3281250000,-183690.5781250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1039999998,0,-187500.0156250000,-111126.5234375000,-183688.3906250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1079999998,0,-187500.0156250000,-111120.6640625000,-183685.4218750000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1120000000,0,-187500.0156250000,-111116.6875000000,-183684.2343750000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1159999999,0,-187500.0156250000,-111112.9531250000,-183682.9843750000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1199999999,0,-187500.0156250000,-111109.1562500000,-183681.8437500000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1239999998,0,-187500.0156250000,-111104.5703125000,-183679.8750000000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1279999998,1,-187500.0156250000,-111100.9062500000,-183678.7656250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1319999998,1,-187500.0156250000,-111097.4218750000,-183677.9843750000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1359999997,1,-187500.0156250000,-111095.7187500000,-183679.0468750000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1399999997,1,-187500.0156250000,-111089.0156250000,-183675.0937500000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1439999996,1,-187500.0156250000,-111077.7968750000,-183666.4218750000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1479999996,1,-187500.0156250000,-111072.3828125000,-183663.5781250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1519999998,1,-187500.0156250000,-111066.7968750000,-183660.5625000000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1559999997,1,-187500.0156250000,-111063.5546875000,-183660.0468750000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1599999997,1,-187500.0156250000,-111059.9609375000,-183659.2031250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1639999996,1,-187500.0156250000,-111058.3046875000,-183660.4531250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1679999996,1,-187500.0156250000,-111054.6640625000,-183659.7343750000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1719999998,1,-187500.0156250000,-111046.2109375000,-183654.2187500000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1759999997,1,-187500.0156250000,-111045.9687500000,-183656.7031250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,-187500.0156250000,,,
