Time:250Hz,Epoch,FCz,Oz,O1,PO7,O2,PO8,PO3,PO4,Event Id,Event Date,Event Duration
0.0000000000,0,-167216.3437500000,-35385.2929687500,-129400.7031250000,-156616.6562500000,-159804.6250000000,-182174.7187500000,-187500.0156250000,-187500.0156250000,,,
0.0040000000,0,-167212.9218750000,-35382.9648437500,-129397.0156250000,-156613.1093750000,-159802.5468750000,-182173.1718750000,-187500.0156250000,-187500.0156250000,,,
0.0079999999,0,-167208.2812500000,-35379.3242187500,-129392.1015625000,-156608.4375000000,-159799.1875000000,-182170.5312500000,-187500.0156250000,-187500.0156250000,,,
0.0119999999,0,-167206.0781250000,-35378.0937500000,-129389.4843750000,-156606.1562500000,-159798.1875000000,-182170.1093750000,-187500.0156250000,-187500.0156250000,,,
0.0159999998,0,-167204.7031250000,-35377.5781250000,-129387.4921875000,-156604.3125000000,-159797.8437500000,-182170.2031250000,-187500.0156250000,-187500.0156250000,,,
0.0199999998,0,-167203.0156250000,-35376.9101562500,-129385.5937500000,-156602.4375000000,-159797.3750000000,-182170.3281250000,-187500.0156250000,-187500.0156250000,,,
0.0240000000,0,-167199.6875000000,-35374.6953125000,-129382.1093750000,-156599.2031250000,-159795.5000000000,-182168.9843750000,-187500.0156250000,-187500.0156250000,,,
0.0279999999,0,-167196.0468750000,-35371.9453125000,-129378.0390625000,-156595.3281250000,-159793.1093750000,-182167.1406250000,-187500.0156250000,-187500.0156250000,,,
0.0319999999,0,-167195.4218750000,-35372.1718750000,-129376.8984375000,-156594.4218750000,-159793.5156250000,-182168.0781250000,-187500.0156250000,-187500.0156250000,,,
0.0359999998,0,-167195.3125000000,-35373.0664062500,-129376.4062500000,-156594.0625000000,-159794.6562500000,-182169.8593750000,-187500.0156250000,-187500.0156250000,,,
0.0399999998,0,-167189.8750000000,-35368.5937500000,-129370.6640625000,-156588.4218750000,-159790.4843750000,-182166.3593750000,-187500.0156250000,-187500.0156250000,,,
0.0440000000,0,-167186.6562500000,-35366.4023437500,-129367.0234375000,-156585.1250000000,-159788.5937500000,-182164.8281250000,-187500.0156250000,-187500.0156250000,,,
0.0480000000,0,-167186.0625000000,-35366.8046875000,-129365.8593750000,-156584.3281250000,-159789.0781250000,-182165.9218750000,-187500.0156250000,-187500.0156250000,,,
0.0519999999,0,-167181.9687500000,-35363.5859375000,-129361.3203125000,-156579.8593750000,-159786.1093750000,-182163.5625000000,-187500.0156250000,-187500.0156250000,,,
0.0559999999,0,-167177.7500000000,-35360.3671875000,-129356.8750000000,-156575.4375000000,-159783.2031250000,-182161.1875000000,-187500.0156250000,-187500.0156250000,,,
0.0599999998,0,-167176.9218750000,-35360.5273437500,-129355.6171875000,-156574.4531250000,-159783.5781250000,-182162.1562500000,-187500.0156250000,-187500.0156250000,,,
0.0639999998,0,-167178.3906250000,-35363.0742187500,-129356.7187500000,-156575.7968750000,-159786.2656250000,-182165.5000000000,-187500.0156250000,-187500.0156250000,,,
0.0680000000,0,-167176.0156250000,-35361.5078125000,-129353.8359375000,-156572.9843750000,-159784.8750000000,-182164.7500000000,-187500.0156250000,-187500.0156250000,,,
0.0719999999,0,-167172.4687500000,-35358.9179687500,-129350.0078125000,-156569.4218750000,-159782.6093750000,-182162.9531250000,-187500.0156250000,-187500.0156250000,,,
0.0759999999,0,-167169.2500000000,-35356.7929687500,-129346.6093750000,-156566.1875000000,-159780.7656250000,-182161.6562500000,-187500.0156250000,-187500.0156250000,,,
0.0799999998,0,-167167.8125000000,-35356.2578125000,-129344.5312500000,-156564.4687500000,-159780.4531250000,-182161.9531250000,-187500.0156250000,-187500.0156250000,,,
0.0839999998,0,-167168.8281250000,-35358.2226562500,-129345.0000000000,-156565.1562500000,-159782.4843750000,-182164.6250000000,-187500.0156250000,-187500.0156250000,,,
0.0880000000,0,-167164.3125000000,-35354.7812500000,-129340.3125000000,-156560.4687500000,-159779.3906250000,-182161.9687500000,-187500.0156250000,-187500.0156250000,,,
0.0919999999,0,-167159.4218750000,-35350.8906250000,-129335.0781250000,-156555.3437500000,-159775.7812500000,-182158.9531250000,-187500.0156250000,-187500.0156250000,,,
0.0959999999,0,-167159.8125000000,-35352.2773437500,-129335.0546875000,-156555.5625000000,-159777.3437500000,-182161.1250000000,-187500.0156250000,-187500.0156250000,,,
0.0999999999,0,-167159.0156250000,-35352.3437500000,-129333.7578125000,-156554.5000000000,-159777.6562500000,-182161.9531250000,-187500.0156250000,-187500.0156250000,,,
0.1039999998,0,-167153.6250000000,-35347.8984375000,-129327.9453125000,-156548.7500000000,-159773.4843750000,-182158.3281250000,-187500.0156250000,-187500.0156250000,,,
0.1079999998,0,-167149.7343750000,-35345.0351562500,-129323.8125000000,-156544.9531250000,-159771.0000000000,-182156.4531250000,-187500.0156250000,-187500.0156250000,,,
0.1120000000,0,-167145.1718750000,-35341.4804687500,-129318.8515625000,-156540.1875000000,-159767.6718750000,-182153.6562500000,-187500.0156250000,-187500.0156250000,,,
0.1159999999,0,-167145.4062500000,-35342.5546875000,-129318.4531250000,-156540.0312500000,-159768.8281250000,-182155.4843750000,-187500.0156250000,-187500.0156250000,,,
0.1199999999,0,-167141.6250000000,-35339.8281250000,-129314.3828125000,-156535.9843750000,-159766.2656250000,-182153.4531250000,-187500.0156250000,-187500.0156250000,,,
0.1239999998,0,-167138.1562500000,-35337.3242187500,-129310.6250000000,-156532.4843750000,-159764.1562500000,-182151.8437500000,-187500.0156250000,-187500.0156250000,,,
0.1279999998,1,-167138.5000000000,-35338.5976562500,-129310.5625000000,-156532.6406250000,-159765.7968750000,-182154.0156250000,-187500.0156250000,-187500.0156250000,,,
0.1319999998,1,-167135.0781250000,-35336.1835937500,-129306.6484375000,-156528.9218750000,-159763.4687500000,-182152.3437500000,-187500.0156250000,-187500.0156250000,,,
0.1359999997,1,-167132.6562500000,-35334.7773437500,-129303.9687500000,-156526.4062500000,-159762.3906250000,-182151.6250000000,-187500.0156250000,-187500.0156250000,,,
0.1399999997,1,-167130.2500000000,-35333.4140625000,-129301.2812500000,-156523.8750000000,-159761.1875000000,-182151.1093750000,-187500.0156250000,-187500.0156250000,,,
0.1439999996,1,-167126.8437500000,-35330.9765625000,-129297.3906250000,-156520.2968750000,-159758.9531250000,-182149.5156250000,-187500.0156250000,-187500.0156250000,,,
0.1479999996,1,-167125.6875000000,-35330.6875000000,-129295.7187500000,-156518.8281250000,-159758.9687500000,-182150.0312500000,-187500.0156250000,-187500.0156250000,,,
0.1519999998,1,-167125.7031250000,-35331.6015625000,-129295.2734375000,-156518.4843750000,-159760.1562500000,-182151.8281250000,-187500.0156250000,-187500.0156250000,,,
0.1559999997,1,-167122.6718750000,-35329.5664062500,-129292.0078125000,-156515.4531250000,-159758.3437500000,-182150.5937500000,-187500.0156250000,-187500.0156250000,,,
0.1599999997,1,-167118.5156250000,-35326.5273437500,-129287.6250000000,-156511.2031250000,-159755.5312500000,-182148.2500000000,-187500.0156250000,-187500.0156250000,,,
0.1639999996,1,-167114.4843750000,-35323.4648437500,-129283.0234375000,-156506.7500000000,-159752.5312500000,-182145.9062500000,-187500.0156250000,-187500.0156250000,,,
0.1679999996,1,-167114.9531250000,-35324.8281250000,-129283.1093750000,-156506.8906250000,-159754.0781250000,-182148.0937500000,-187500.0156250000,-187500.0156250000,,,
0.1719999998,1,-167112.5156250000,-35323.3320312500,-129280.4062500000,-156504.4062500000,-159753.0468750000,-182147.5312500000,-187500.0156250000,-187500.0156250000,,,
0.1759999997,1,-167109.5312500000,-35321.4101562500,-129277.0312500000,-156501.2968750000,-159751.5156250000,-182146.5000000000,-187500.0156250000,-187500.0156250000,,,
0.1799999997,1,-167108.8281250000,-35321.6562500000,-129275.8671875000,-156500.2968750000,-159752.0312500000,-182147.4375000000,-187500.0156250000,-187500.0156250000,,,
0.1839999997,1,-167107.0937500000,-35320.8281250000,-129273.6796875000,-156498.2187500000,-159751.2656250000,-182147.4062500000,-187500.0156250000,-187500.0156250000,,,
0.1879999996,1,-167105.2968750000,-35320.0468750000,-129271.6250000000,-156496.4218750000,-159750.6406250000,-182147.4687500000,-187500.0156250000,-187500.0156250000,,,
0.1919999996,1,-167099.4218750000,-35315.3085937500,-129265.5390625000,-156490.5312500000,-159746.1875000000,-182143.5156250000,-187500.0156250000,-187500.0156250000,,,
0.1959999998,1,-167098.0625000000,-35314.8164062500,-129263.6875000000,-156488.8437500000,-159745.9843750000,-182143.8437500000,-187500.0156250000,-187500.0156250000,,,
0.1999999997,1,-167098.7968750000,-35316.6250000000,-129263.9765625000,-156489.3437500000,-159747.7343750000,-182146.3281250000,-187500.0156250000,-187500.0156250000,,,
0.2039999997,1,-167099.2031250000,-35318.0585937500,-129264.0859375000,-156489.6562500000,-159749.4687500000,-182148.5625000000,-187500.0156250000,-187500.0156250000,,,
0.2079999996,1,-167094.9062500000,-35314.9062500000,-129259.5546875000,-156485.3437500000,-159746.7343750000,-182146.2343750000,-187500.0156250000,-187500.0156250000,,,
0.2119999996,1,-167092.2656250000,-35313.0507812500,-129256.3593750000,-156482.3437500000,-159745.1406250000,-182145.2500000000,-187500.0156250000,-187500.0156250000,,,
0.2159999998,1,-167092.2500000000,-35313.8320312500,-129255.8203125000,-156481.9375000000,-159746.1250000000,-182146.7343750000,-187500.0156250000,-187500.0156250000,,,
0.2199999997,1,-167090.2812500000,-35312.8281250000,-129253.4921875000,-156479.7968750000,-159745.4687500000,-182146.6406250000,-187500.0156250000,-187500.0156250000,,,
0.2239999997,1,-167086.3906250000,-35310.0781250000,-129249.3828125000,-156475.8125000000,-159742.9062500000,-182144.6250000000,-187500.0156250000,-187500.0156250000,,,
0.2279999997,1,-167084.6093750000,-35309.2968750000,-129247.2812500000,-156473.8125000000,-159742.3281250000,-182144.6562500000,-187500.0156250000,-187500.0156250000,,,
0.2319999996,1,-167085.3593750000,-35310.8593750000,-129247.4375000000,-156474.1875000000,-159744.0937500000,-182147.0468750000,-187500.0156250000,-187500.0156250000,,,
0.2359999996,1,-167083.1093750000,-35309.5195312500,-129244.7812500000,-156471.7500000000,-159743.1093750000,-182146.5312500000,-187500.0156250000,-187500.0156250000,,,
0.2399999998,1,-167077.1406250000,-35304.5585937500,-129238.5000000000,-156465.7812500000,-159738.4375000000,-182142.3750000000,-187500.0156250000,-187500.0156250000,,,
